ex	sevt-page001	murd-1_1
ex	sevt-page002	murd-1_2
ex	sevt-page003	murd-1_3
ex	sevt-page004	murd-2_1
ex	sevt-page005	murd-2_2
ex	sevt-page006	murd-2_3
ex	sevt-page007	murd-3_1
ex	sevt-page008	murd-3_2
ex	sevt-page009	murd-3_3
		
ex	sevt-page019	murd-1_back
ex	sevt-page019	murd-1_back
ex	sevt-page019	murd-1_back
ex	sevt-page020	murd-2_back
ex	sevt-page020	murd-2_back
ex	sevt-page020	murd-2_back
ex	sevt-page021	murd-3_back
ex	sevt-page021	murd-3_back
ex	sevt-page021	murd-3_back
		
ex	sevt-page010	murd-4_1
ex	sevt-page011	murd-4_2
ex	sevt-page012	murd-4_3
ex	sevt-page013	murd-5_1
ex	sevt-page014	murd-5_2
ex	sevt-page015	murd-5_3
ex	sevt-page016	murd-6_1
ex	sevt-page017	murd-6_2
ex	sevt-page018	murd-6_3
		
ex	sevt-page022	murd-4_back
ex	sevt-page022	murd-4_back
ex	sevt-page022	murd-4_back
ex	sevt-page023	murd-5_back
ex	sevt-page023	murd-5_back
ex	sevt-page023	murd-5_back
ex	sevt-page024	murd-6_back
ex	sevt-page024	murd-6_back
ex	sevt-page024	murd-6_back
